iter	Passed	Remaining
0	62	18619
1	64	9605
2	66	6601
3	68	5085
4	70	4174
5	72	3564
6	75	3140
7	77	2814
8	79	2558
9	81	2356
10	83	2187
11	85	2045
12	87	1926
13	89	1823
14	91	1734
15	93	1660
16	95	1590
17	97	1527
18	99	1470
19	101	1419
20	103	1372
21	105	1330
22	107	1291
23	109	1257
24	111	1225
25	113	1194
26	115	1167
27	117	1139
28	119	1116
29	121	1092
30	123	1070
31	125	1050
32	127	1030
33	129	1013
34	131	995
35	133	978
36	135	963
37	137	947
38	139	932
39	141	917
40	143	904
41	145	892
42	147	881
43	149	869
44	151	857
45	153	847
46	155	837
47	157	828
48	159	818
49	161	808
50	163	799
51	165	789
52	167	781
53	169	773
54	171	765
55	173	757
56	175	750
57	177	742
58	179	734
59	181	727
60	184	722
61	186	716
62	188	709
63	190	703
64	192	697
65	194	690
66	196	684
67	198	678
68	200	672
69	203	667
70	205	661
71	207	656
72	209	649
73	210	644
74	213	639
75	214	633
76	216	628
77	218	623
78	220	617
79	223	613
80	224	608
81	226	603
82	228	598
83	230	593
84	232	588
85	235	586
86	237	581
87	239	577
88	241	573
89	243	568
90	245	563
91	247	560
92	250	556
93	252	552
94	254	548
95	256	545
96	258	540
97	260	536
98	262	533
99	264	529
100	267	527
101	269	523
102	271	519
103	273	515
104	275	511
105	277	508
106	279	504
107	281	500
108	283	497
109	285	493
110	287	490
111	290	487
112	292	483
113	294	479
114	296	476
115	298	472
116	300	469
117	301	465
118	304	462
119	306	459
120	308	456
121	310	453
122	312	449
123	314	446
124	316	443
125	318	439
126	320	436
127	322	433
128	324	429
129	326	426
130	328	423
131	330	420
132	332	417
133	334	413
134	336	411
135	338	407
136	340	405
137	342	402
138	344	399
139	346	396
140	348	393
141	350	390
142	353	387
143	355	385
144	357	382
145	359	379
146	361	376
147	363	373
148	365	370
149	367	367
150	369	364
151	371	361
152	373	358
153	375	355
154	377	353
155	379	350
156	381	347
157	384	345
158	386	342
159	389	340
160	391	337
161	393	334
162	395	332
163	397	329
164	399	326
165	401	324
166	403	321
167	405	318
168	407	316
169	409	313
170	412	310
171	414	308
172	416	305
173	418	302
174	420	300
175	422	297
176	424	294
177	426	292
178	428	289
179	430	286
180	432	284
181	434	281
182	436	278
183	439	276
184	441	274
185	443	271
186	446	269
187	448	266
188	449	264
189	451	261
190	453	258
191	456	256
192	458	253
193	460	251
194	462	248
195	464	246
196	467	244
197	469	241
198	471	239
199	473	236
200	475	234
201	477	231
202	479	229
203	481	226
204	483	223
205	485	221
206	487	218
207	489	216
208	491	213
209	493	211
210	495	208
211	497	206
212	499	203
213	501	201
214	503	198
215	505	196
216	507	193
217	509	191
218	510	188
219	512	186
220	514	184
221	516	181
222	518	179
223	520	176
224	522	174
225	524	171
226	526	169
227	528	166
228	530	164
229	533	162
230	535	159
231	537	157
232	539	155
233	541	152
234	543	150
235	545	147
236	547	145
237	549	143
238	551	140
239	554	138
240	556	136
241	557	133
242	560	131
243	562	129
244	564	126
245	566	124
246	568	121
247	570	119
248	572	117
249	574	114
250	576	112
251	578	110
252	580	107
253	582	105
254	584	103
255	586	100
256	589	98
257	591	96
258	593	93
259	595	91
260	597	89
261	599	86
262	601	84
263	604	82
264	606	80
265	607	77
266	609	75
267	611	73
268	613	70
269	615	68
270	617	66
271	619	63
272	621	61
273	624	59
274	626	56
275	628	54
276	630	52
277	632	50
278	634	47
279	636	45
280	638	43
281	640	40
282	642	38
283	644	36
284	646	34
285	648	31
286	650	29
287	652	27
288	654	24
289	656	22
290	658	20
291	660	18
292	662	15
293	664	13
294	666	11
295	668	9
296	670	6
297	672	4
298	675	2
299	676	0
